index,name,location,lat,long
1,NG Springfield AVCRAD (New),Missouri,37.25327548,-93.39095789
2,NG Alcantra Armory Complex,Alaska,61.60305033,-149.3748498
3,NG Camp Adair Corvallis,Oregon,44.71433608,-123.2706959
4,NG Kalaeloa,Hawaii,21.31899173,-158.0624848
5,Aiea,Hawaii,21.37351527,-157.9379877
6,Ewa,Hawaii,21.33887774,-157.9951393
7,Sewage Evaporation Pond,California,36.24376468,-119.883529
8,Moody AFB,Georgia,30.97252768,-83.16469304
9,Brown 4b Stagefield AL,Alabama,31.38631909,-85.97227165
10,Toth Stagefield AL,Alabama,31.22858447,-85.55870947
11,Schofield Barracks Military Reservation,Hawaii,21.49560349,-158.0532398
12,Fort Hamilton,New York,40.60899676,-74.02945006
13,Iowa AAP,Iowa,40.79200259,-91.2456158
14,ALF Bogue,North Carolina,34.69285056,-77.02868256
15,Naval Weapons Station Earle NJ,New Jersey,40.2538572,-74.16084834
16,NAVSUPPACT Hampton Roads VA,Virginia,36.92501529,-76.29961097
17,Det Philadelphia PA,Pennsylvania,40.04130307,-75.09458127
18,NAVBASE Guam,Guam,13.42863258,144.6534641
19,NAS Meridian MS,Mississippi,32.55319141,-88.56951313
20,NAVSUPPACT Midsouth Memphis TN,Tennessee,35.33142423,-89.8707838
21,Eglin AFB (Eglin Main and Reservation),Florida,30.57593762,-86.52837335
22,Bradley IAP,Connecticut,41.93499405,-72.70125041
23,New Castle Airport,Delaware,39.68650969,-75.59755622
24,Pease ANGB,New Hampshire,43.08908549,-70.81873077
25,Savannah/Hilton Head IAP,Georgia,32.12642039,-81.18975656
26,MacDill AFB,Florida,27.84360837,-82.50102275
27,NG TS Clark Natl Forest Wapp,Missouri,36.89151922,-90.27996652
28,NG Rosemount NG Armory,Minnesota,44.74774848,-93.12760544
29,Holtville Carrier LS,California,32.83855695,-115.258178
30,West Bank,Louisiana,29.94883089,-90.03289968
31,NOLF Summerdale,Alabama,30.50803898,-87.64719463
32,Santa Rosa Parcel B,Guam,13.53586268,144.9148044
33,Sheppard AFB,Texas,33.98455239,-98.49969368
34,OLF Coupeville,Washington,48.18960058,-122.6324423
35,Mountain Home AFB,Idaho,43.04894023,-115.8658803
36,Beale AFB,California,39.12105698,-121.3954652
37,MCB Camp Lejeune (East Site),North Carolina,34.64335799,-77.30510405
38,Patrick AFB,Florida,28.23386934,-80.60800752
39,Goldberg Stagefield AL,Alabama,31.4151605,-85.46340251
40,Wheeler Army Airfield,Hawaii,21.47541225,-158.0355368
41,Milan AAP,Tennessee,35.87383818,-88.70612844
42,Longhorn AAP,Texas,32.67503031,-94.13387776
43,Camp Frank D Merrill,Georgia,34.71046392,-84.16587636
44,Allegany Ballistics Lab,West Virginia,39.54925304,-78.84573454
45,Nimitz Hill,Guam,13.4658622,144.7232042
46,White Bluff,Washington,47.70271344,-117.5775085
47,The Barry M Goldwater Air Force Range,Arizona,32.64061507,-113.0558683
48,NG Hammond Airport,Louisiana,30.52309823,-90.41218254
49,NG MTA Clarks Hill Reservation,South Carolina,33.79443945,-82.27777063
50,NG Lane County AFRC FMS 5,Oregon,44.06566794,-122.9777834
51,NG Bog Brook Training Site,Maine,44.39651203,-70.93654099
52,San Pedro Fuel Depot,California,33.77305325,-118.3010273
53,Target 101 Shade Tree,California,32.94895668,-115.7506566
54,Ramey AF Solar Observatory Research Site,Puerto Rico,18.50943271,-67.09912881
55,Nellis Air Force Range,Nevada,37.30639721,-116.19855
56,Tac X Stagefield AL,Alabama,31.12253739,-85.97909652
57,Fort Lewis,Washington,47.05447405,-122.5527009
58,Hunter Army Airfield,Georgia,32.00965651,-81.15356019
59,Green River Test Complex UT,Utah,38.95840202,-110.0969892
60,Apra Heights,Guam,13.4015825,144.6786799
61,Andy South,Guam,13.5080102,144.865759
62,Marysville WA,Washington,48.12370346,-122.171056
63,Laughlin AFB Aux 1,Texas,29.11838653,-100.4722935
64,Joint Base Charleston Naval Weapons Station,South Carolina,32.96292793,-79.96357248
65,Luke Waste Annex,Arizona,33.5384063,-112.3217623
66,Great Falls IAP,Montana,47.4765456,-111.3649796
67,Hector IAP,North Dakota,46.91372241,-96.80446443
68,Stewart IAP,New York,41.50140528,-74.08434535
69,Burlington IAP,Vermont,44.47442785,-73.14789682
70,Canyon Lake Recreation Annex,Texas,29.8846194,-98.21938126
71,NG Camp Dodge Johnston TS,Iowa,41.81021516,-93.78130259
72,NG Fort Indiantown Gap,Pennsylvania,40.43594672,-76.62969046
73,NG Fort Wolters,Texas,32.8648657,-98.0295708
74,NG Beauregard Training Range,Louisiana,31.43941968,-92.29555591
75,NG ITC Camp San Luis Obisbo,California,35.3391521,-120.703075
76,NG Ft Allen Rq 177,Puerto Rico,18.01304105,-66.50565158
77,NG TS Ethan Allen Range,Vermont,44.47172658,-72.89653884
78,NG Gulfport AVCRAD,Mississippi,30.41618689,-89.06287443
79,NG Camp Swift,Texas,30.26166995,-97.2945537
80,JBAB Anacostia Bolling,District of Columbia,38.84487515,-77.01473355
81,Honolulu,Hawaii,21.34629934,-157.9220477
82,NAS JRB New Orleans LA,Louisiana,29.83136319,-90.02086679
83,NOLF Spencer,Florida,30.62531664,-87.13982752
84,NOTU Cape Canaveral,Florida,28.42826398,-80.58842676
85,NAVWPNSYSTRAFAC Boardman,Oregon,45.72074181,-119.6874352
86,NAVSTA Everett WA,Washington,47.98831568,-122.223175
87,NAS Whidbey Island WA,Washington,48.33863782,-122.6615009
88,Redstone Arsenal,Alabama,34.63285078,-86.6571701
89,Fort Huachuca,Arizona,31.56741903,-110.329649
90,Cairns Basefield AL,Alabama,31.2786073,-85.71499451
91,Runkle Stagefield AL,Alabama,31.34038538,-86.09188787
92,Aliamanu Military Reservation,Hawaii,21.36187856,-157.9113889
93,Dillingham Mil Res,Hawaii,21.57623166,-158.1987758
94,Def Gen Supply Center,Virginia,37.41877173,-77.447529
95,Fort Benning AL,Alabama,32.28387123,-84.95484311
96,TBR Main,Georgia,31.54849137,-81.6199877
97,Syracuse MCRC,New York,43.10010111,-76.12109911
98,Tinker Support Annex,Oklahoma,35.40369658,-97.36030278
99,Fort Fisher Recreation Site,North Carolina,33.98117032,-77.91645867
100,Barksdale AFB,Louisiana,32.50028096,-93.59994134
101,Cannon AFB,New Mexico,34.38401494,-103.3211063
102,Cannon AFB Site 2,New Mexico,34.40919171,-103.3282443
103,Luke Air Force Auxiliary Field No 1,Arizona,33.71597428,-112.5279234
104,Gulfport-Biloxi Regional Airport (ANG),Mississippi,30.4107264,-89.06120865
105,NG Auburn Training Site,Maine,44.08629335,-70.28279836
106,NG Bangor Training Site,Maine,44.80954829,-68.83339599
107,NG Santa Fe - Onate Complex TS,New Mexico,35.56971397,-106.081042
108,NG TS BBTS,Delaware,38.54757433,-75.06330128
109,NG Camp Murray,Washington,47.11671649,-122.56884
